date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
3/20/2021,2021,Pepperdine,0,0,BYU,Pepperdine,,,,,,,,,,,,
3/20/2021,2021,UCSB,0,0,LBSU,UCSB,,,,,,,,,,,,
3/20/2021,2021,NJIT,0,0,Penn,NJIT,,,,,,,,,,,,
3/20/2021,2021,Stanford,0,0,GCU,Stanford,,,,,,,,,,,,
3/20/2021,2021,UCI,0,0,CSUN,UCI,,,,,,,,,,,,
3/20/2021,2021,Quincy,0,0,Ball,Quincy,,,,,,,,,,,,
3/20/2021,2021,Charleston,0,0,SFU,Charleston,,,,,,,,,,,,
3/20/2021,2021,GMU,0,0,Sacred,GMU,,,,,,,,,,,,
3/21/2021,2021,LBSU,0,0,UCSB,LBSU,,,,,,,,,,,,
3/21/2021,2021,CSUN,0,0,UCI,CSUN,,,,,,,,,,,,
3/23/2021,2021,Stanford,0,0,UCLA,Stanford,,,,,,,,,,,,
3/24/2021,2021,Stanford,0,0,UCLA,Stanford,,,,,,,,,,,,
3/26/2021,2021,UH,0,0,UCSD,UH,,,,,,,,,,,,
3/26/2021,2021,Concordia,0,0,BYU,Concordia,,,,,,,,,,,,
3/26/2021,2021,LBSU,0,0,UCI,LBSU,,,,,,,,,,,,
3/26/2021,2021,USC,0,0,Stanford,USC,,,,,,,,,,,,
3/26/2021,2021,NJIT,0,0,Charleston,NJIT,,,,,,,,,,,,
3/26/2021,2021,Pepperdine,0,0,GCU,Pepperdine,,,,,,,,,,,,
3/26/2021,2021,CSUN,0,0,UCSB,CSUN,,,,,,,,,,,,
3/26/2021,2021,Ball,0,0,Loyola,Ball,,,,,,,,,,,,
3/26/2021,2021,SFU,0,0,GMU,SFU,,,,,,,,,,,,
3/26/2021,2021,Penn,0,0,Sacred,Penn,,,,,,,,,,,,
3/27/2021,2021,UH,0,0,UCSD,UH,,,,,,,,,,,,
3/27/2021,2021,Concordia,0,0,BYU,Concordia,,,,,,,,,,,,
3/27/2021,2021,UCI,0,0,LBSU,UCI,,,,,,,,,,,,
3/27/2021,2021,USC,0,0,Stanford,USC,,,,,,,,,,,,
3/27/2021,2021,NJIT,0,0,Charleston,NJIT,,,,,,,,,,,,
3/27/2021,2021,Pepperdine,0,0,GCU,Pepperdine,,,,,,,,,,,,
3/27/2021,2021,UCSB,0,0,CSUN,UCSB,,,,,,,,,,,,
3/27/2021,2021,Ball,0,0,Loyola,Ball,,,,,,,,,,,,
3/27/2021,2021,SFU,0,0,GMU,SFU,,,,,,,,,,,,
3/27/2021,2021,Penn,0,0,Sacred,Penn,,,,,,,,,,,,
3/28/2021,2021,USC,0,0,Stanford,USC,,,,,,,,,,,,
3/28/2021,2021,Pepperdine,0,0,GCU,Pepperdine,,,,,,,,,,,,
3/31/2021,2021,Pepperdine,0,0,UCLA,Pepperdine,,,,,,,,,,,,
4/1/2021,2021,BYU,0,0,USC,BYU,,,,,,,,,,,,
4/1/2021,2021,UCSB,0,0,UCI,UCSB,,,,,,,,,,,,
4/2/2021,2021,UH,0,0,LBSU,UH,,,,,,,,,,,,
4/2/2021,2021,BYU,0,0,USC,BYU,,,,,,,,,,,,
4/2/2021,2021,GCU,0,0,UCLA,GCU,,,,,,,,,,,,
4/2/2021,2021,SFU,0,0,NJIT,SFU,,,,,,,,,,,,
4/2/2021,2021,Stanford,0,0,Concordia,Stanford,,,,,,,,,,,,
4/2/2021,2021,CSUN,0,0,UCSD,CSUN,,,,,,,,,,,,
4/2/2021,2021,McKendree,0,0,Ball,McKendree,,,,,,,,,,,,
4/2/2021,2021,Sacred,0,0,Charleston,Sacred,,,,,,,,,,,,
