date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
2/20/2021,2021,DYouville,0,0,Daemen,DYouville,1,0,3,0,75,41,,,,,,,,
2/21/2021,2021,UCI,0,0,Hawaii,UCI,1,0,3,1,97,71,,,,,,,,
2/21/2021,2021,Ball,0,0,Lindenwood,Ball,0,1,0,3,63,75,,,,,,,,
2/21/2021,2021,Sacred,0,0,Penn,Sacred,1,0,3,1,98,77,,,,,,,,
2/21/2021,2021,Ohio,0,0,Loyola,Ohio,0,1,0,3,64,77,,,,,,,,
2/22/2021,2021,UCI,0,0,Hawaii,UCI,1,0,3,0,78,53,,,,,,,,
2/23/2021,2021,Belmont,0,0,Erskine,Belmont,0,1,0,3,63,75,,,,,,,,
2/24/2021,2021,UCSD,0,0,Hawaii,UCSD,1,0,3,0,75,61,,,,,,,,
2/24/2021,2021,USC,0,0,Pepperdine,USC,1,0,3,0,80,68,,,,,,,,
2/24/2021,2021,Olive,0,0,Barton,Olive,0,1,2,3,98,108,,,,,,,,
2/24/2021,2021,King,0,0,Greenville,King,0,1,2,3,106,101,,,,,,,,
2/24/2021,2021,DYouville,0,0,Medaille,DYouville,1,0,3,0,75,70,,,,,,,,
2/25/2021,2021,UCSD,0,0,Hawaii,UCSD,1,0,3,0,75,62,,,,,,,,
2/25/2021,2021,GCU,0,0,BYU,GCU,0,1,0,3,95,75,,,,,,,,
2/25/2021,2021,UCLA,0,0,Concordia,UCLA,0,1,0,3,57,75,,,,,,,,
2/25/2021,2021,NJIT,0,0,SFU,NJIT,0,1,0,3,51,75,,,,,,,,
2/25/2021,2021,Loyola,0,0,PFW,Loyola,1,0,3,1,95,91,,,,,,,,
2/26/2021,2021,NJIT,0,0,SFU,NJIT,0,1,0,3,50,75,,,,,,,,
2/26/2021,2021,Pepperdine,0,0,USC,Pepperdine,0,1,0,3,75,57,,,,,,,,
2/26/2021,2021,Charleston,0,0,Sacred,Charleston,0,1,0,3,63,78,,,,,,,,
2/26/2021,2021,Penn,0,0,GMU,Penn,0,1,1,3,86,100,,,,,,,,
2/26/2021,2021,Lewis,0,0,McKendree,Lewis,1,0,3,1,94,87,,,,,,,,
2/26/2021,2021,Quincy,0,0,Lindenwood,Quincy,0,1,1,3,89,96,,,,,,,,
2/26/2021,2021,Limestone,0,0,Tusculum,Limestone,0,1,1,3,75,98,,,,,,,,
2/26/2021,2021,Daemen,0,0,Elmira,Daemen,0,1,0,3,45,70,,,,,,,,
2/27/2021,2021,GCU,0,0,BYU,GCU,1,0,3,0,75,51,,,,,,,,
2/27/2021,2021,Concordia,0,0,UCLA,Concordia,0,1,2,3,104,106,,,,,,,,
2/27/2021,2021,Ball,0,0,Ohio,Ball,1,0,3,2,107,105,,,,,,,,
2/27/2021,2021,Charleston,0,0,Sacred,Charleston,0,1,1,3,84,97,,,,,,,,
2/27/2021,2021,Penn,0,0,GMU,Penn,0,1,0,3,56,75,,,,,,,,
2/27/2021,2021,Lees,0,0,Greenville,Lees,1,0,3,0,75,51,,,,,,,,
