short_name,full_name,division,mascot,conference,elo,location,eligible,twitter,color
King,King University,D-II,Tornados,Carolinas,1500,"36.585282826029015, -82.15931172711392",1,@TornadoMVB,#cf102d
Kings,King's College,D-III,Monarchs,D-III,1500,"41.249174900875346, -75.87696569302454",0,@KingsMonarchs,
KSU,Kentucky State University,D-II,Thorobreds,SIAC,1500,"38.20016245445245, -84.86007930194451",1,@KYSUAthletics,
Lakeland,Lakeland University,D-III,Muskies,D-III,1500,"43.843452277396864, -87.88577772880265",0,,
Lancaster,Lancaster Bible College,D-III,Chargers,D-III,1500,"40.07544941311759, -76.28914618292605",0,,
Lasell,Lasell University,D-III,Lasers,D-III,1500,"42.34259730667481, -71.24342225858211",0,,
LBSU,Long Beach State,D-I,49ers,Big West,1500,"33.78755969795288, -118.11468048796037",1,@lbsumvb,#eba91b
Lees,Lees–McRae College,D-II,Bobcats,Carolinas,1500,"36.15646890875242, -81.87072487315083",1,@LMCBobcatVolley,
Lehman,Lehman College,D-III,Lightning Bugs,D-III,1500,"40.87466726077226, -73.89295862715507",0,,
Lesley,Lesley University,D-III,Lynx,D-III,1500,"42.43001050429625, -71.12511049597039",0,,
Lewis,Lewis University,D-II,Flyers,MIVA,1500,"41.60507512399408, -88.08211780186922",1,@LewisMVBall,#c00000
Life,Life University,NAIA,Running Eagles,NAIA,1500,"33.931020655187076, -84.51727778423846",0,@lifeu_mvb,
Limestone,Limestone University,D-II,Saints,Independent,1500,"35.0550147456207, -81.65177833084384",1,@LimestoneMVB,#0038a5
Lincoln,Lincoln College,NAIA,Lynx,NAIA,1500,"40.15727080993323, -89.36035218954572",0,@LincolnLynxMVB,#712E91
Lindenwood,Lindenwood University,D-II,Lions,MIVA,1500,"38.78885569308603, -90.50402535960333",1,@lindenwoodMVB,#dcd087
LIU,Long Island University,D-I,Sharks,Independent,1500,"40.69062486571616, -73.979257542518",1,@LIUAthletics,
LMU,Lincoln Memorial University,D-II,Railsplitters,Independent,1500,"36.58069456454686, -83.6625514731423",1,@SplittersMensVB,#002461
Loras,Loras College,D-III,Duhawks,D-III,1500,"42.504879804777005, -90.67847969314923",0,,
Lourdes,Lourdes University,NAIA,Grey Wolves,NAIA,1500,"41.7080917959541, -83.70556847058288",0,,
Loyola,Loyola University Chicago,D-I,Ramblers,MIVA,1500,"42.000567998243376, -87.65897785953142",1,@RamblersMVB,#582931
Maranatha,Maranatha Baptist University,D-III,Sabercats,D-III,1500,"43.19434080238715, -88.7378745828583",0,,
Marian,Marian University (WI),D-III,Sabres,D-III,1500,"43.77635064609146, -88.41999676090558",0,,
Marymount,Marymount University,D-III,Saints,D-III,1500,"38.90566645273184, -77.12717533225883",0,,
Maryville,Maryville University,D-II,Saints,Independent,1500,"38.64372686506051, -90.50393139677512",1,@MaryvilleMVB,
Masters,The Master's University,NAIA,Mustangs,NAIA,1500,"34.38300835589866, -118.51955473325665",0,@TMUAthletics,#0c2340
MBU,Missouri Baptist University,NAIA,Spartans,NAIA,1500,"38.64163159240683, -90.46136632365594",0,@MBUVolleyball,
McKendree,McKendree University,D-II,Bearcats,MIVA,1500,"38.61089984668392, -89.81457515960716",1,@McKMVB,#592b85
Medaille,Medaille College,D-III,Mavericks,D-III,1500,"42.929141132927406, -78.85653115282652",0,@MavsVBall,
Medgar,Medgar Evers College,D-III,Cougars,D-III,1500,"40.66678199893193, -73.95201121827772",0,,
Menlo,Menlo College,NAIA,Oaks,NAIA,1500,"37.45703867329666, -122.191176410207",0,@MenloAthletics,#003a70
Merced,UC Merced,NAIA,Golden Bobcats,NAIA,1500,"37.366012991410265, -120.42680463444562",0,@UCMercedMVB,
Messiah,Messiah Univeristy,D-III,Falcons,D-III,1500,"40.158697842416125, -76.988491780441",0,,
Milligan,Milligan University,NAIA,Buffaloes,NAIA,1500,"36.30126262460604, -82.29042412992379",0,@MilliganBuffs,#AF5108
Millikin,Millikin University,D-III,Big Blue,D-III,1500,"39.843612359218106, -88.9732658076431",0,,
Misericordia,Misericordia University,D-III,Cougars,D-III,1500,"41.346573259307426, -75.97430701035299",0,,
MIT,Massachusetts Institute of Technology,D-III,Engineers,D-III,1500,"42.35920143502328, -71.09598651534462",0,,
Morehouse,Morehouse College,D-II,Maroon Tigers,SIAC,1500,"33.74897155900181, -84.40861390674647",1,@MaroonTigers,
Mount Union,University of Mount Union,D-III,Purple Raiders,D-III,1500,"40.90245029151455, -81.11104969355848",0,@purpleraiders,
MSJ,Mount St. Joseph University,D-III,Lions,D-III,1500,"39.095018513143216, -84.6404775537773",0,@MSJmensVball,
MSOE,Milwaukee School of Engineering,D-III,Raiders,D-III,1500,"43.04662807366095, -87.90950353546796",0,,
MSV,College of Mount Saint Vincent,D-III,Dolphins,D-III,1500,"40.91356526437771, -73.90614706114066",0,,
MVC,Missouri Valley College,NAIA,Vikings,NAIA,1500,"39.10850085848182, -93.18987364525856",0,@MVCAthletics,#962599
MVNU,Mount Vernon Nazarene University,NAIA,Cougars,NAIA,1500,"40.37266012753464, -82.46830521946504",0,@mvnumvball,
Nazareth,Nazareth College (NY),D-III,Golden Flyers,D-III,1500,"43.101628145741294, -77.51857696231474",0,@NazAthletics,
Neumann,Neumann University,D-III,Knights,D-III,1500,"39.87521060111818, -75.4428721669722",0,,
Nichols,Nichols College,D-III,Bison,D-III,1500,"42.04241879910383, -71.92939413800686",0,@ncbison,
NJCU,New Jersey City University,D-III,Gothic Knights,D-III,1500,"40.7127279879083, -74.08873883959045",0,,
NJIT,New Jersey Institute of Technology,D-I,Highlanders,EIVA,1500,"40.74226308492056, -74.1804250697891",1,@njitMVB,#d9232e
Norbert,St. Norbert College,D-III,Green Knights,D-III,1500,"44.442076059728834, -88.06813597045847",0,,
North Central,North Central College,D-III,Cardinals,D-III,1500,"41.769802215602205, -88.14426296972064",0,,
North Park,North Park University,D-III,Vikings,D-III,1500,"41.97507802707824, -87.70908385315052",0,,
NVU,Northern Vermont University–Johnson,D-III,Badgers,D-III,1500,"44.64170222739891, -72.67127077254793",0,@NVUBadgers,
NYU,New York University,D-III,Violets,D-III,1500,"40.69426223581706, -73.98649046111277",0,,
Ohio,The Ohio State University,D-I,Buckeyes,MIVA,1500,"40.013659150194385, -83.02835385096364",1,@OhioStateMVB,#ce0f3d
Olive,University of Mount Olive,D-II,Trojans,Carolinas,1500,"35.206267828209945, -78.07135766938003",1,@UMOMVB,#026241
Olivet,Olivet College,D-III,Comets,D-III,1500,"42.43590104499605, -84.926079186222",0,@OlivetAthletics,
OUAZ,Ottawa University Arizona,NAIA,Spirit,NAIA,1500,"33.62841394840269, -112.37179237613786",0,,
OUKA,Ottawa University Kansas,NAIA,Braves,NAIA,1500,"38.60167971936256, -95.26329401980554",0,@ottawamens_vb,#ffbe29
Paine,Paine College,NCCAA,Lions,NCCAA,1500,"33.47082393014291, -81.99702436738723",0,,
Park,Park University,NAIA,Pirates,NAIA,1500,"33.29997589547613, -111.62490849737839",0,,
Penn,Pennsylvania State University,D-I,Nittany Lions,EIVA,1500,"40.79587992368765, -77.86941460188768",1,@PennStateMVBALL,#002D62
Penn Altoona,Penn State Altoona,D-III,Nittany Lions,D-III,1500,"40.54129159543888, -78.4106558057087",0,,
Penn Behrend,"Penn State Erie, The Behrend College",D-III,Behrend Lions,D-III,1500,"42.12012061305278, -79.97809207472905",0,,
Pepperdine,Pepperdine University,D-I,Waves,MPSF,1500,"34.03852398415157, -118.70978524990564",1,@PeppVolleyball,#0a2240
PFW,Purdue University Fort Wayne,D-I,Mastodons,MIVA,1500,"41.11944698196785, -85.10730666554868",1,@MastodonMVB,#c28e0e
Pine Manor,Pine Manor College,D-III,Gators,D-III,1500,"42.32090975390333, -71.15797182073103",0,,
Pratt,Pratt Institute,D-III,Cannoneers,D-III,1500,"40.690913899534586, -73.96207617419944",0,,
Princeton,Princeton University,D-I,Tigers,EIVA,1500,"40.345617856393154, -74.65879610189774",1,@PrincetonVolley,#ff6000
Queens,Queens University of Charlotte,D-II,Royals,Independent,1500,"35.18849968417609, -80.83507306216742",1,@QueensAthletics,#00205b
Quincy,Quincy University,D-II,Hawks,MIVA,1500,"39.9384182056001, -91.38529127307119",1,@QUMVB,#591f00
Ramapo,Ramapo College,D-III,Roadrunners,D-III,1500,"41.08237213924209, -74.17750497174502",0,,
Randolph Macon,Randolph–Macon College,D-III,Yellow Jackets,D-III,1500,"37.762889757977874, -77.47861657454743",0,@RMCathletics,
Regis,Regis College (MA),D-III,Pride,D-III,1500,"42.350914973456305, -71.3074520630383",0,,
Reinhardt,Reinhardt University,NAIA,Eagles,NAIA,1500,"34.318858281323614, -84.54888269700757",0,@RUMensVball,#002E5C
Rivier,Rivier University,D-III,Raiders,D-III,1500,"42.73813288937704, -71.45234267759334",0,,
Rockford,Rockford University,D-III,Regents,D-III,1500,"42.269156247760925, -89.02165338002247",0,,
Rosemont,Rosemont College,D-III,Ravens,D-III,1500,"40.033736490844156, -75.33160520871527",0,,
Rutgers,Rutgers University–Newark,D-III,Scarlet Raiders,D-III,1500,"40.73916807034423, -74.17387951111192",0,@ScarletRaiders,
Sacred,Sacred Heart University,D-I,Pioneers,EIVA,1500,"41.21960639882194, -73.24464177304239",1,@SHUBigRed,
Sage,The Sage Colleges,D-III,Gators,D-III,1500,"42.65142294260737, -73.78257340262616",0,@sagemvb,
Saint Vincent,Saint Vincent College,D-III,Bearcats,D-III,1500,"40.29242584013322, -79.40378787664432",0,@SVC_Bearcats,#1e5632
Sarah,Sarah Lawrence College,D-III,Gryphons,D-III,1500,"40.9321611226302, -73.84734653537407",0,,
SFCB,St. Francis College (Brooklyn),D-I,Terriers,EIVA,1500,"40.69327473082102, -73.99260250884957",1,@SFBKMVB,#0038a8
SFU,Saint Francis University (PA),D-I,Red Flash,EIVA,1500,"40.50452259480198, -78.64110417305858",1,@RedFlashMVB,#bd1f25
SJC Brooklyn,St. Joseph's College-Brooklyn,D-III,Bears,D-III,1500,"40.690994511103455, -73.9696828545863",0,,
SJC Long Island,St. Joseph's College-Long Island,D-III,Golden Eagles,D-III,1500,"40.7764487093655, -73.0263200930275",0,,
Springfield,Springfield College (MA),D-III,Pride,D-III,1500,"42.10483126433112, -72.55557081090733",0,,
St Andrews,St. Andrews University,NAIA,Knights,NAIA,1500,"34.745921130860445, -79.47888492926597",0,@SAUKnights,
Stanford,Stanford University,D-I,Cardinal,MPSF,1500,"37.42962789960126, -122.16063330196073",1,@StanfordMVB,#8c1515
Stevens,Stevens Institute of Technology,D-III,Ducks,D-III,1500,"40.74330688729092, -74.02580511631534",0,,
Stevenson,Stevenson University,D-III,Mustangs,D-III,1500,"39.427623235478656, -76.77926613430805",0,,
SUNY New Paltz,State University of New York at New Paltz,D-III,Hawks,D-III,1500,"41.739840548230994, -74.08651471281539",0,@nphawks,
SUNY Poly,State University of New York Polytechnic Institute,D-III,Wildcats,D-III,1500,"43.137836223361504, -75.22973236333709",0,,
SUNY Potsdam,State University of New York at Potsdam,D-III,Bears,D-III,1500,"44.660676196882086, -74.96712355234018",0,@PotsdamBears,
SUNY Purchase,State University of New York at Purchase,D-III,Panthers,D-III,1500,"41.05010343783726, -73.69852253602835",0,,
SVU,Southern Virginia University,D-III,Knights,D-III,1500,"37.74147880883873, -79.34995625019081",0,@svuathletics,
Thiel,Thiel College,D-III,Tomcats,D-III,1500,"41.411953215542255, -80.38403895686261",0,,
Thomas More,Thomas More University,NAIA,Saints,NAIA,1500,"39.0210397287091, -84.56872684972652",0,@tmusaints,#00549f
Trine,Trine University,D-III,Thunder,D-III,1500,"41.63098230268178, -85.01231909201103",0,,
Truett,Truett-McConnell Univeristy,NAIA,Bears,NAIA,1500,"34.59660840107576, -83.75065653236048",0,@TMUBears,#002a46
Tusculum,Tusculum University,D-II,Pioneers,Independent,1500,"36.172235784169594, -82.76122001547911",1,@TusculumMVB,#ec6633
UCI,UC Irvine,D-I,Anteaters,Big West,1500,"33.649529179071855, -117.84676229463538",1,@UCImvb,#002144
UCLA,UCLA,D-I,Bruins,MPSF,1500,"34.070368942308, -118.44692940202692",1,@UCLAMVB,#2d68c4
UCSB,UC Santa Barbara,D-I,Gauchos,Big West,1500,"34.413774241887246, -119.85124827968606",1,@GauchoVball,#223168
UCSC,UC Santa Cruz,D-III,Banana Slugs,D-III,1500,"36.96823924339548, -122.02312311628842",0,@ucsc_mvb,
UCSD,UC San Diego,D-I,Tritons,Big West,1500,"32.88532910021645, -117.23989557321309",1,@UCSDmvb,#182b49
UHSP,University of Health Sciences & Pharmacy,NAIA,Eutectics,NAIA,1500,"38.63693302044206, -90.26244371434896",0,@UHSPEutectics,#46166b
UPRB,University of Puerto Rico at Bayamon,D-II,Cowboys,Independent,1500,"18.37183760427692, -66.14289026456974",0,,
UPRM,University of Puerto Rico at Mayaguez,D-II,Tarzans,Independent,1500,"18.210830405627053, -67.14090943786569",0,,
UPRRP,"University of Puerto Rico, Rio Piedras",D-II,Gallitos,Independent,1500,"18.40278872714375, -66.05006215991594",0,,
Urbana,Urbana University,D-II,Blue Knights,Independent,1500,"40.09973848144935, -83.76003001311695",0,,
USC,University of Southern California,D-I,Trojans,MPSF,1500,"34.02083077304503, -118.27970057319217",1,@USCmensvolley,#9d2235
Valley Forge,University of Valley Forge,D-III,Patriots,D-III,1500,"40.1181690516284, -75.550581063398",0,,
Vanguard,Vanguard University,NAIA,Lions,NAIA,1500,"33.66149843172471, -117.90297950960634",0,@VULions,#003767
Vassar,Vassar College,D-III,Brewers,D-III,1500,"41.689951645290634, -73.89088724998996",0,,
Wabash,Wabash College,D-III,Little Giants,D-III,1500,"40.03704910749767, -86.90791218910711",0,,
Warner,Warner University,NAIA,Royals,NAIA,1500,"27.851729076947557, -81.5991506273334",0,,
Webber,Webber International University,NAIA,Warriors,NAIA,1500,"27.83794368879541, -81.53348173209628",0,@WebberAthletics,
Wells,Wells College,D-III,Express,D-III,1500,"42.74657777700596, -76.69624086746354",0,@WellsExpress,#b31b34
Westcliff,Westcliff University,NAIA,Warriors,NAIA,1500,"33.79535549977899, -117.76684789770304",0,,
Widener,Widener University,D-III,Pride,D-III,1500,"39.86591052264735, -75.35187384013149",0,@WidenerMVB,
Wilkes,Wilkes University,D-III,Colonels,D-III,1500,"41.2423605095444, -75.890487664037",0,,
Wilson,Wilson College (PA),D-III,Phoenix,D-III,1500,"39.953606035662204, -77.6499938604079",0,,
WIT,Wentworth Institute of Technology,D-III,Leopards,D-III,1500,"42.33551821175901, -71.094890253902",0,,
Wittenberg,Wittenberg University,D-III,Tigers,D-III,1500,"39.937405829559225, -83.81388113557702",0,@WittAthletics,#990000
WLC,Wisconsin Lutheran College,D-III,Warriors,D-III,1500,"43.03772451134177, -88.02170450400425",0,,
WPU,William Penn University (Iowa),NAIA,Statesmen,NAIA,1500,"41.309247172572135, -92.64891268395098",0,@StatesmenMVB,
Xavier,Saint Xavier University,NAIA,Cougars,NAIA,1500,"41.70695344950264, -87.71614398729923",0,@SXUmensvball,
Yeshiva,Yeshiva University,D-III,Maccabees,D-III,1500,"40.85009572301855, -73.92863738341114",0,@YUathletics,#005696
York,York College,D-III,Cardinals,D-III,1500,"40.70067378876929, -73.79500755814429",0,@YCPathletics,#00853e
