short_name,full_name,division,mascot,conference,elo,location,eligible,twitter,color,ret_2023,ret_2022,ret_2021
Maryville,Maryville,D-II,Saints,IVA,1862.3261796705676,"38.64372686506051, -90.50393139677512",1,@MaryvilleMVB,#d11242,0.34,0,0
Masters,Master's,NAIA,Mustangs,NAIA,1373,"34.38300835589866, -118.51955473325665",0,@TMUAthletics,#0c2340,1,1,1
MBU,Missouri Baptist,NAIA,Spartans,NAIA,1373,"38.64163159240683, -90.46136632365594",0,@MBUVolleyball,,1,1,1
McKendree,McKendree,D-II,Bearcats,MIVA,2193.005704941121,"38.61089984668392, -89.81457515960716",1,@McKMVB,#592b85,0.67,0.6,0.18
Medaille,Medaille,D-III,Mavericks,D-III,1419,"42.929141132927406, -78.85653115282652",0,@MavsVBall,,1,1,1
Medgar,Medgar Evers,D-III,Cougars,D-III,1419,"40.66678199893193, -73.95201121827772",0,,,1,1,1
Menlo,Menlo,D-II,Oaks,MPSF,1476.184068100609,"37.45703867329666, -122.191176410207",1,@MenloAthletics,#003a70,1,1,1
Merced,UC Merced,NAIA,Golden Bobcats,NAIA,1373,"37.366012991410265, -120.42680463444562",0,@UCMercedMVB,,1,1,1
Merrimack,Merrimack,D-I,Warriors,IND,1754.3753680790142,"42.66757089228014, -71.12054892522444",1,@MerrimackMVB,#003057,0,0,0
Messiah,Messiah,D-III,Falcons,D-III,1419,"40.158697842416125, -76.988491780441",0,,,1,1,1
Midway,Midway,NAIA,Eagles,NAIA,1373,"38.14453438741419, -84.6772629389929",0,@GoMidwayEagles,#0055a6,1,1,1
Milligan,Milligan,NAIA,Buffaloes,NAIA,1373,"36.30126262460604, -82.29042412992379",0,@MilliganBuffs,#AF5108,1,1,1
Millikin,Millikin,D-III,Big Blue,D-III,1419,"39.843612359218106, -88.9732658076431",0,,,1,1,1
Misericordia,Misericordia,D-III,Cougars,D-III,1419,"41.346573259307426, -75.97430701035299",0,,,1,1,1
MIT,MIT,D-III,Engineers,D-III,1419,"42.35920143502328, -71.09598651534462",0,,,1,1,1
Monroe,Monroe College,NJCAA,Mustangs,NJCAA,1373,"40.910591378458086, -73.77982575854296",0,,#14285c,,,
Morehouse,Morehouse,D-II,Maroon Tigers,SIAC,1152.5083316314874,"33.74897155900181, -84.40861390674647",1,@MaroonTigers,#5b1825,0.33,0,0
Morningside,Morningside University,NAIA,Mustangs,NAIA,1373,"42.47606153575057, -96.36354368935518",0,,#7E262C,,,
Mount Union,Mount Union,D-III,Purple Raiders,D-III,1419,"40.90245029151455, -81.11104969355848",0,@purpleraiders,,1,1,1
MSJ,Mount St. Joseph,D-III,Lions,D-III,1419,"39.095018513143216, -84.6404775537773",0,@MSJmensVball,,1,1,1
MSOE,Milwaukee Engineering,D-III,Raiders,D-III,1419,"43.04662807366095, -87.90950353546796",0,,,1,1,1
MST,Missouri S&T,D-II,Miners,IVA,1765.854145629978,"37.95093924618906, -91.77816359173113",1,@Miners_MVB,#154734,0,0,0
MSV,Mount Saint Vincent,D-III,Dolphins,D-III,1419,"40.91356526437771, -73.90614706114066",0,,,1,1,1
