date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
2/12/2021,2021,SFU,0,0,Charleston,SFU,1,0,3,2,109,108,1322.3792099328161,1254.5484036505272,0.5963947559616092,0.40360524403839093,1334.487367253968,1242.4402463293754
2/12/2021,2021,Loyola,0,0,Lindenwood,Loyola,0,1,0,3,60,76,1341.0776263414587,1419.6434131654078,0.38882332203473274,0.6111766779652673,1329.4129266804166,1431.3081128264498
2/12/2021,2021,McKendree,0,0,Ohio,McKendree,0,1,1,3,82,98,1327.082350489756,1388.584167573486,0.41240479179991674,0.5875952082000833,1314.7102067357584,1400.9563113274835
2/12/2021,2021,PFW,0,0,Quincy,PFW,0,1,1,3,78,91,1344.2722580109169,1322.8255852039545,0.5308251010789998,0.4691748989210002,1328.3475049785468,1338.7503382363245
2/13/2021,2021,BYU,0,0,Pepperdine,BYU,0,1,1,3,98,102,1362.579696171776,1368.6525409913097,0.4912613636957032,0.5087386363042967,1347.841855260905,1383.3903819021807
2/13/2021,2021,UCLA,0,0,USC,UCLA,1,0,3,1,107,107,1350,1362.475768076248,0.48205363915563876,0.5179463608443613,1365.538390825331,1346.937377250917
2/13/2021,2021,Penn,0,0,NJIT,Penn,0,1,1,3,80,96,1353.7197451497614,1398.1930663851342,0.43634503223660875,0.5636549677633913,1340.6293941826632,1411.2834173522324
2/13/2021,2021,SFU,0,0,Charleston,SFU,1,0,3,0,75,67,1334.487367253968,1242.4402463293754,0.629451816357032,0.37054818364296804,1345.6038127632569,1231.3238008200865
2/13/2021,2021,Loyola,0,0,Lindenwood,Loyola,0,1,1,3,82,93,1329.4129266804166,1431.3081128264498,0.3574254937704332,0.6425745062295668,1318.6901618673037,1442.0308776395627
2/13/2021,2021,McKendree,0,0,Ohio,McKendree,0,1,1,3,87,92,1314.7102067357584,1400.9563113274835,0.3783700048645219,0.6216299951354781,1303.3591065898229,1412.307411473419
2/13/2021,2021,PFW,0,0,Quincy,PFW,0,1,0,3,59,77,1328.3475049785468,1338.7503382363245,0.4850335917493669,0.514966408250633,1313.7964972260659,1353.3013459888055
2/14/2021,2021,Penn,0,0,NJIT,Penn,1,0,3,0,75,52,1340.6293941826632,1411.2834173522324,0.39969952330301906,0.6003004766969811,1358.6384084835727,1393.274403051323
2/18/2021,2021,BYU,0,0,GCU,BYU,0,1,1,3,87,99,1349.408484742159,1383.3903819021807,0.4512514684473962,0.5487485315526038,1335.8709406887372,1396.9279259556026
2/18/2021,2021,USC,0,0,UCLA,USC,1,0,3,1,102,93,1346.937377250917,1365.538390825331,0.4732565365335262,0.5267434634664737,1362.7396811549113,1349.7360869213367
2/18/2021,2021,Stanford,0,0,Pepperdine,Stanford,1,0,3,0,77,63,1347.841855260905,1350,0.4968942200043785,0.5031057799956216,1362.9350286607737,1334.9068266001314
2/18/2021,2021,McKendree,0,0,Quincy,McKendree,0,1,1,3,91,98,1313.7964972260659,1412.307411473419,0.36191216394045,0.6380878360595501,1302.9391323078523,1423.1647763916326
