date,season,home,n,p,t1,t2,r_t1,r_t2,s_t1,s_t2,p_t1,p_t2,s1_t1,s1_t2,s2_t1,s2_t2,s3_t1,s3_t2,s4_t1,s4_t2,s5_t1,s5_t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1/17/2020 0:00:00,2020,McKendree,0,0,NJIT,McKendree,0,1,2,3,,,,,,,,,,,,,1508.6002802979497,1498.304940906257,1505.6002802979497,1548.304940906257,0.43885068783795556,0.5611493121620444,1497.1014263294778,1514.8037948747287
1/17/2020 0:00:00,2020,Ohio,0,0,King,Ohio,0,1,0,3,,,,,,,,,,,,,1517.5996844598367,1552.583004196369,1517.5996844598367,1602.583004196369,0.3800812647176579,0.6199187352823421,1511.1972465183069,1563.9854421378989
1/17/2020 0:00:00,2020,Quincy,0,0,MBU,Quincy,1,0,3,2,,,,,,,,,,,,,1373,1466.9636901780239,1373,1516.9636901780239,0.30391544529897513,0.6960845547010248,1395.5492033076976,1449.4144868703263
1/17/2020 0:00:00,2020,Charleston,0,0,Erskine,Charleston,0,1,1,3,,,,,,,,,,,,,1500,1452.5887401102705,1499,1502.5887401102705,0.4948355714925999,0.5051644285074001,1488.4882661885554,1469.100473921715
1/17/2020 0:00:00,2020,Queens,0,0,Lees,Queens,0,1,1,3,,,,,,,,,,,,,1500,1498.9144778638868,1500,1548.9144778638868,0.43006784088574224,0.5699321591142578,1490.431298106761,1513.4831797571258
1/17/2020 0:00:00,2020,NGU,0,0,Tusculum,NGU,0,1,1,3,,,,,,,,,,,,,1463.8620877483372,1511.832084081465,1463.8620877483372,1561.832084081465,0.3626315419078942,0.6373684580921058,1456.3164748244337,1524.3776970053684
1/18/2020 0:00:00,2020,Loyola,0,0,Hawaii,Loyola,1,0,3,1,,,,,,,,,,,,,1576.9175793160555,1461.709022794904,1559.9175793160555,1511.709022794904,0.5689358479933327,0.43106415200666726,1593.1828372095888,1450.4437649013707
1/18/2020 0:00:00,2020,UCSB,0,0,Ball,UCSB,0,1,0,3,,,,,,,,,,,,,1542.1986982462286,1547.1585105092606,1535.1986982462286,1597.1585105092606,0.41176606076688665,0.5882339392331133,1534.845716423222,1559.5114923322672
1/18/2020 0:00:00,2020,GCU,0,0,UCSD,GCU,0,1,1,3,,,,,,,,,,,,,1522.9422120505662,1515.5647454424814,1521.9422120505662,1565.5647454424814,0.43754994302535305,0.562450056974647,1513.149047093139,1530.3579103999086
1/18/2020 0:00:00,2020,Olive,0,0,BYU,Olive,1,0,3,0,,,,,,,,,,,,,1585.485014479491,1554.9948910680373,1578.485014479491,1604.9948910680373,0.46192308586112685,0.5380769141388732,1606.627321903657,1538.8525836438712
1/18/2020 0:00:00,2020,UCSD,0,0,GCU,UCSD,1,0,3,1,,,,,,,,,,,,,1530.3579103999086,1513.149047093139,1529.3579103999086,1563.149047093139,0.4515233997971378,0.5484766002028622,1550.1455417393277,1498.36141575372
1/18/2020 0:00:00,2020,Lewis,0,0,Penn,Lewis,1,0,3,2,,,,,,,,,,,,,1510.7318985460406,1523.781019288901,1508.7318985460406,1573.781019288901,0.40746549838354296,0.592534501616457,1530.174600261201,1509.3383175737406
1/18/2020 0:00:00,2020,Lindenwood,0,0,NJIT,Lindenwood,1,0,3,1,,,,,,,,,,,,,1497.1014263294778,1513.1175849021477,1494.1014263294778,1563.1175849021477,0.4019638739579562,0.5980361260420438,1518.3758434440724,1496.843167787553
1/18/2020 0:00:00,2020,McKendree,0,0,SFU,McKendree,0,1,0,3,,,,,,,,,,,,,1499.1562294075627,1514.8037948747287,1497.1562294075627,1564.8037948747287,0.4038591732413331,0.596140826758667,1492.0404542103227,1526.9195700719688
1/18/2020 0:00:00,2020,Quincy,0,0,Benedictine,Quincy,0,1,0,3,,,,,,,,,,,,,1419,1449.4144868703263,1419,1499.4144868703263,0.3862973786714997,0.6137026213285003,1412.411078639855,1461.0034082304712
1/18/2020 0:00:00,2020,Charleston,0,0,Limestone,Charleston,1,0,3,2,,,,,,,,,,,,,1500,1469.100473921715,1500,1519.100473921715,0.4725398672398095,0.5274601327601904,1517.4904706494724,1456.6100032722427
1/18/2020 0:00:00,2020,SFCB,0,0,Baruch,SFCB,0,1,0,3,,,,,,,,,,,,,1419,1492.1438935222513,1419,1542.1438935222513,0.3298478621198596,0.6701521378801404,1414.1045641364042,1502.0393293858472
1/18/2020 0:00:00,2020,Belmont,0,0,Tusculum,Belmont,0,1,0,3,,,,,,,,,,,,,1456.3164748244337,1490.4449592476565,1456.3164748244337,1540.4449592476565,0.38124138989498213,0.6187586101050179,1449.8792331275843,1501.882200944506
1/18/2020 0:00:00,2020,Bluefield,0,0,Erskine,Bluefield,1,0,3,0,,,,,,,,,,,,,1488.4882661885554,1373,1488.4882661885554,1423,0.5931446939619262,0.40685530603807385,1505.6939253696976,1360.7943408188578
1/19/2020 0:00:00,2020,Quincy,0,0,Campbellsville,Quincy,1,0,3,1,,,,,,,,,,,,,1373,1461.0034082304712,1372,1511.0034082304712,0.3099895962022815,0.6900104037977185,1397.033645447265,1441.9697627832063
1/20/2020 0:00:00,2020,LMU,0,0,Hawaii,LMU,1,0,3,0,,,,,,,,,,,,,1593.1828372095888,1533.901958894071,1575.1828372095888,1583.901958894071,0.4874548087490437,0.5125451912509563,1613.5591929471175,1518.5256031565423
