short_name,full_name,division,mascot,conference,elo,tracking
Ramapo,Ramapo College,D-III,Roadrunners,Skyline Conference,1419,0
Randolph Macon,Randolph–Macon College,D-III,Yellow Jackets,CVC,1419,0
Regis,Regis College (MA),D-III,Pride,GNAC,1419,0
Reinhardt,Reinhardt University,NAIA,Eagles,NAIA,1373,0
Rivier,Rivier University,D-III,Raiders,GNAC,1419,0
Rockford,Rockford University,D-III,Regents,NACC,1419,0
Rosemont,Rosemont College,D-III,Ravens,CSAC,1419,0
Rutgers,Rutgers University–Newark,D-III,Scarlet Raiders,CVC,1419,0
Sacred,Sacred Heart University,D-I,Pioneers,EIVA,1384.7584932408809,1
Sage,The Sage Colleges,D-III,Gators,NECC,1419,0
Saint Vincent,Saint Vincent College,D-III,Bearcats,AMCC,1419,0
Sarah,Sarah Lawrence College,D-III,Gryphons,Skyline Conference,1419,0
SFCB,St. Francis College (Brooklyn),D-I,Terriers,Independent,1514.4680809215884,0
SFU,Saint Francis University (PA),D-I,Red Flash,EIVA,1480.6439901133015,1
SJC Brooklyn,St. Joseph's College-Brooklyn,D-III,Bears,Skyline Conference,1419,0
SJC Long Island,St. Joseph's College-Long Island,D-III,Golden Eagles,Skyline Conference,1419,0
Springfield,Springfield College (MA),D-III,Pride,Independent,1419,0
St Andrews,St. Andrews University,NAIA,Knights,NAIA,1373,0
Stanford,Stanford University,D-I,Cardinal,MPSF,1448.9011534392564,1
Stevens,Stevens Institute of Technology,D-III,Ducks,MAC,1419,0
Stevenson,Stevenson University,D-III,Mustangs,MAC,1419,0
SUNY New Paltz,State University of New York at New Paltz,D-III,Hawks,UVC,1419,0
SUNY Poly,State University of New York Polytechnic Institute,D-III,Wildcats,NEAC,1419,0
SUNY Potsdam,State University of New York at Potsdam,D-III,Bears,NEAC,1419,0
SUNY Purchase,State University of New York at Purchase,D-III,Panthers,Skyline Conference,1419,0
SVU,Southern Virginia University,D-III,Knights,CVC,1419,0
Thiel,Thiel College,D-III,Tomcats,AMCC,1419,0
Trine,Trine University,D-III,Thunder,MCVL,1419,0
Tusculum,Tusculum University,D-II,Pioneers,Independent,1458.4333460226237,0
UCI,UC Irvine,D-I,Anteaters,Big West,1428.9063547765932,1
UCLA,UCLA,D-I,Bruins,MPSF,1619.8444165969584,1
UCSB,UC Santa Barbara,D-I,Gauchos,Big West,1601.674266925802,1
UCSC,UC Santa Cruz,D-III,Banana Slugs,Independent,1419,0
UCSD,UC San Diego,D-I,Tritons,Big West,1457.6161967582864,1
UPRB,University of Puerto Rico at Bayamon,D-II,Cowboys,Independent,1500,0
UPRM,University of Puerto Rico at Mayaguez,D-II,Tarzans,Independent,1500,0
UPRRP,"University of Puerto Rico, Rio Piedras",D-II,Gallitos,Independent,1500,0
USC,University of Southern California,D-I,Trojans,MPSF,1455.4926064597453,1
Valley Forge,University of Valley Forge,D-III,Patriots,CSAC,1419,0
Vassar,Vassar College,D-III,Brewers,UVC,1419,0
Wabash,Wabash College,D-III,Little Giants,MCVL,1419,0
Wells,Wells College,D-III,Express,NEAC,1419,0
Widener,Widener University,D-III,Pride,MAC,1419,0
Wilkes,Wilkes University,D-III,Colonels,MAC,1419,0
Wilson,Wilson College (PA),D-III,Phoenix,CSAC,1419,0
WIT,Wentworth Institute of Technology,D-III,Leopards,GNAC,1419,0
Wittenberg,Wittenberg University,D-III,Tigers,MCVL,1419,0
WLC,Wisconsin Lutheran College,D-III,Warriors,NACC,1419,0
Yeshiva,Yeshiva University,D-III,Maccabees,Skyline Conference,1419,0
York,York College,D-III,Cardinals,CUNY AC,1419,0
