date,AIC,Ball,Barry,Barton,Belmont,Benedict,BYU,Catawba,Central,Charleston,Concordia,CSUN,Daemen,Dominican,DYouville,Emmanuel,Erskine,EWU,FDU,FVSU,GCU,GMU,Harvard,Hawaii,Jessup,King,KSU,LBSU,Lees,Lewis,Lindenwood,LIU,LMO,LMU,Loyola,Maryville,McKendree,Menlo,Merrimack,Morehouse,MST,NGU,NJIT,Ohio,Penn,Pepperdine,PFW,Princeton,Queens,Quincy,Rockhurst,Roosevelt,RWU,SFU,SHU,STA,Stanford,Thomas More,Tusculum,UCI,UCLA,UCSB,UCSD,UMO,USC,Vanguard
2/20/2024,1304.3768291924266,2087.79282033656,1500.0,1665.5356895070997,1846.9853758965812,1424.932517870313,2070.6198539174693,1500.0,1589.6928285474069,1838.7724642498954,1797.2436503509143,1852.6455797962897,1976.9672169803687,1491.7616942274883,1652.683311795966,1711.614618746922,1804.089797361096,1766.0018017519724,1702.2129284447942,1546.5007456421201,2228.2910767884828,1993.2165072779185,1865.0343491391866,2362.218383248526,1500.0,1723.2917951979805,1306.7580201334415,2298.5158642445567,1518.1698528766776,1955.5428331029223,1895.6648944939393,1855.5513185629948,1500.0,2104.201564257419,2099.2722177883466,1682.7889622142309,1939.3003440921802,1499.1,1661.4179978854017,1162.6519051478265,1659.6704445839746,1967.9267219728238,1881.7611854527734,2204.202056580702,2323.2663744454926,2052.164236362587,1959.5488464307755,2006.9441725823424,1861.9759217057058,1761.3391268604973,1500.0,1478.6278260906597,1430.2749209376348,2035.1914758968392,1764.0975921989866,1469.4650157757399,2053.794780551793,1628.8347621772457,1670.8268680871977,2191.580525486218,2409.812871345483,1899.3147338916297,1850.9361730143976,1825.24901383538,2014.5344071386955,1491.9
2/21/2024,1304.3768291924266,2087.79282033656,1500.0,1665.5356895070997,1874.049233274629,1424.932517870313,2070.6198539174693,1500.0,1589.6928285474069,1838.7724642498954,1797.2436503509143,1852.6455797962897,1976.9672169803687,1491.7616942274883,1652.683311795966,1741.5617039288973,1804.089797361096,1746.054716569997,1702.2129284447942,1546.5007456421201,2228.2910767884828,1993.2165072779185,1865.0343491391866,2362.218383248526,1500.0,1706.2279378199328,1306.7580201334415,2298.5158642445567,1512.7083634111514,1983.7602273019672,1895.6648944939393,1855.5513185629948,1500.0,2120.1496144466187,2099.2722177883466,1682.7889622142309,1939.3003440921802,1499.1,1661.4179978854017,1162.6519051478265,1659.6704445839746,1983.38821143835,1881.7611854527734,2220.1667689055557,2323.2663744454926,2052.164236362587,1953.5841341059215,2006.9441725823424,1861.9759217057058,1743.1217326614524,1500.0,1478.6278260906597,1430.2749209376348,2035.1914758968392,1764.0975921989866,1469.4650157757399,2053.794780551793,1628.8347621772457,1664.8788178979978,2191.580525486218,2409.812871345483,1899.3147338916297,1850.9361730143976,1825.24901383538,2014.5344071386955,1491.9
2/22/2024,1304.3768291924266,2087.79282033656,1500.0,1665.5356895070997,1874.049233274629,1424.932517870313,2070.6198539174693,1500.0,1589.6928285474069,1838.7724642498954,1797.2436503509143,1852.6455797962897,1976.9672169803687,1511.581756778068,1652.683311795966,1741.5617039288973,1804.089797361096,1746.054716569997,1702.2129284447942,1546.5007456421201,2228.2910767884828,1993.2165072779185,1865.0343491391866,2362.218383248526,1500.0,1706.2279378199328,1306.7580201334415,2298.5158642445567,1512.7083634111514,1983.7602273019672,1895.6648944939393,1855.5513185629948,1500.0,2120.1496144466187,2099.2722177883466,1682.7889622142309,1939.3003440921802,1499.1,1661.4179978854017,1162.6519051478265,1659.6704445839746,1983.38821143835,1881.7611854527734,2220.1667689055557,2323.2663744454926,2052.164236362587,1953.5841341059215,2006.9441725823424,1861.9759217057058,1743.1217326614524,1500.0,1478.6278260906597,1430.2749209376348,2035.1914758968392,1764.0975921989866,1469.4650157757399,2053.794780551793,1655.9312229553595,1664.8788178979978,2191.580525486218,2409.812871345483,1899.3147338916297,1850.9361730143976,1825.24901383538,2014.5344071386955,1491.9
2/23/2024,1304.3768291924266,2087.79282033656,1500.0,1672.5049749903933,1874.049233274629,1424.932517870313,2070.6198539174693,1500.0,1540.3268126629662,1838.7724642498954,1797.2436503509143,1852.6455797962897,1976.9672169803687,1511.581756778068,1652.683311795966,1741.5617039288973,1804.089797361096,1746.054716569997,1702.2129284447942,1546.5007456421201,2228.2910767884828,1993.2165072779185,1865.0343491391866,2362.8934818040366,1500.0,1706.2279378199328,1306.7580201334415,2298.5158642445567,1512.7083634111514,1983.7602273019672,1895.6648944939393,1855.5513185629948,1500.0,2120.1496144466187,2099.2722177883466,1682.7889622142309,1939.3003440921802,1499.1,1661.4179978854017,1162.6519051478265,1668.995346028464,1983.38821143835,1881.7611854527734,2220.1667689055557,2323.2663744454926,2052.164236362587,1953.5841341059215,2006.9441725823424,1861.9759217057058,1743.1217326614524,1500.0,1478.6278260906597,1430.2749209376348,2035.1914758968392,1764.0975921989866,1469.4650157757399,2053.794780551793,1655.9312229553595,1664.8788178979978,2191.580525486218,2409.812871345483,1899.3147338916297,1850.9361730143976,1825.24901383538,2014.5344071386955,1491.9
2/24/2024,1297.6153344521892,2107.31844073063,1500.0,1710.3847353723993,1889.2839300480575,1424.932517870313,2127.2675586172877,1500.0,1540.3268126629662,1880.8620330743622,1802.929431903257,1852.6455797962897,1988.1191661321484,1540.4757062297112,1638.0657317958687,1713.6819435468913,1790.562570369431,1746.054716569997,1701.0609792930145,1546.5007456421201,2242.1548472334584,1961.1269384534517,1842.79039644008,2363.6026386292046,1500.0,1706.2279378199328,1306.7580201334415,2307.6033026266914,1507.4736666377228,1984.6727889198326,1941.1008086464556,1880.168898563092,1500.0,2120.1496144466187,2063.83630363583,1721.8803265207898,1921.8713957016278,1499.1,1661.4179978854017,1145.5915459713674,1678.286189203296,1983.38821143835,1885.0822764395862,2239.0851763695996,2329.94528345868,2080.9251871926954,1981.013082496474,2039.188125281449,1853.057514241662,1733.5961122673823,1500.0,1478.6278260906597,1430.2749209376348,2055.283235185595,1754.0058329102305,1450.5710663240966,2035.0338297216845,1626.8398586488006,1664.8788178979978,2195.8947439338754,2363.1651666456646,1876.1214058501196,1884.1295010559077,1848.7762408270453,2010.67063669372,1491.9
2/27/2024,1297.6153344521892,2107.31844073063,1500.0,1689.2216333692038,1889.2839300480575,1424.932517870313,2117.9453356282097,1500.0,1540.3268126629662,1860.135391838156,1795.6135537235316,1834.1926224424133,2004.9972288026156,1567.7229486329343,1672.0893084555507,1705.2997147742876,1821.7256723726264,1754.0929445041088,1677.0374026333325,1546.5007456421201,2251.828395168689,1991.8535796896579,1888.0661609590547,2363.6026386292046,1500.0,1753.4550127661857,1300.0532680923911,2307.6033026266914,1516.1794965362124,2013.125746273709,1920.2099029649596,1873.2908358926247,1500.0,2121.4437845481293,2094.7272093173256,1738.5850785618402,1904.720605009825,1499.1,1661.4179978854017,1145.5915459713674,1678.286189203296,1946.161136492097,1891.7972403685194,2256.8540839322422,2333.230319529747,2045.7837453772613,2008.1638731882767,2003.9123607624742,1845.2886066790193,1733.5961122673823,1500.0,1478.6278260906597,1430.2749209376348,2076.9847048316537,1742.3043632641718,1450.5710663240966,2080.175271537118,1626.8398586488006,1664.8788178979978,2213.2106221136005,2382.4873896347426,1876.1214058501196,1884.1295010559077,1867.158469599649,2010.9970887584893,1491.9
2/28/2024,1295.8175257938617,2107.31844073063,1500.0,1689.2216333692038,1923.2110115769017,1393.0417528747982,2117.9453356282097,1500.0,1540.3268126629662,1837.7065415263794,1828.0424040353082,1834.1926224424133,2004.9972288026156,1582.2187973261018,1672.0893084555507,1680.9665138817106,1856.0588732652034,1754.0929445041088,1677.0374026333325,1546.5007456421201,2251.828395168689,1991.8535796896579,1888.0661609590547,2363.6026386292046,1500.0,1753.4550127661857,1300.0532680923911,2307.6033026266914,1508.3488192110613,2013.125746273709,1920.2099029649596,1873.2908358926247,1500.0,2121.4437845481293,2094.7272093173256,1759.0741765420764,1904.720605009825,1499.1,1673.2158065437293,1145.5915459713674,1678.286189203296,1922.234054963253,1891.7972403685194,2256.8540839322422,2333.230319529747,2045.7837453772613,2008.1638731882767,2003.9123607624742,1845.2886066790193,1733.5961122673823,1500.0,1478.6278260906597,1430.2749209376348,2076.9847048316537,1742.3043632641718,1450.5710663240966,2080.175271537118,1626.8398586488006,1682.709495223149,2213.2106221136005,2382.4873896347426,1876.1214058501196,1884.1295010559077,1867.158469599649,2010.9970887584893,1491.9
2/29/2024,1295.8175257938617,2107.31844073063,1500.0,1689.2216333692038,1923.2110115769017,1393.0417528747982,2117.9453356282097,1500.0,1534.1951417088346,1824.450726931296,1828.0424040353082,1823.8861588436455,2004.9972288026156,1582.2187973261018,1672.0893084555507,1627.7455292765194,1856.0588732652034,1754.0929445041088,1677.0374026333325,1546.5007456421201,2251.828395168689,1991.8535796896579,1888.0661609590547,2363.6026386292046,1500.0,1753.4550127661857,1300.0532680923911,2307.6033026266914,1508.3488192110613,2013.125746273709,1903.1800347613473,1873.2908358926247,1500.0,2121.4437845481293,2094.7272093173256,1759.0741765420764,1931.7504732134373,1499.1,1673.2158065437293,1145.5915459713674,1678.286189203296,1922.234054963253,1891.7972403685194,2256.8540839322422,2333.230319529747,2066.0902089760293,2008.1638731882767,2003.9123607624742,1845.2886066790193,1733.5961122673823,1500.0,1478.6278260906597,1430.2749209376348,2076.9847048316537,1742.3043632641718,1450.5710663240966,2080.175271537118,1626.8398586488006,1682.709495223149,2213.2106221136005,2382.4873896347426,1876.1214058501196,1907.385315650991,1867.158469599649,2010.9970887584893,1491.9
3/1/2024,1295.8175257938617,2107.31844073063,1500.0,1689.2216333692038,1923.2110115769017,1393.0417528747982,2117.9453356282097,1500.0,1534.1951417088346,1824.450726931296,1804.5432000752985,1823.8861588436455,2024.8389834624281,1582.2187973261018,1662.2475537957382,1627.7455292765194,1856.0588732652034,1754.0929445041088,1677.0374026333325,1546.5007456421201,2251.828395168689,1991.8535796896579,1888.0661609590547,2363.6026386292046,1500.0,1753.4550127661857,1300.0532680923911,2307.6033026266914,1508.3488192110613,2014.010528017597,1903.1800347613473,1873.2908358926247,1500.0,2121.4437845481293,2113.5073299064675,1759.0741765420764,1931.7504732134373,1499.1,1673.2158065437293,1145.5915459713674,1678.286189203296,1922.234054963253,1891.7972403685194,2265.9693021883545,2333.230319529747,2066.0902089760293,1999.383752599135,2003.9123607624742,1845.2886066790193,1733.5961122673823,1500.0,1478.6278260906597,1430.2749209376348,2076.9847048316537,1742.3043632641718,1450.5710663240966,2080.175271537118,1626.8398586488006,1682.709495223149,2213.2106221136005,2400.6352070681005,1909.6206098101293,1907.385315650991,1867.158469599649,2002.8492713251314,1491.9
3/2/2024,1295.8175257938617,2115.648752506073,1500.0,1720.4499550562055,1955.0645122474668,1384.2476420759797,2117.9453356282097,1500.0,1519.9351503000803,1810.781434465629,1804.5432000752985,1847.5554513093125,1983.112537262558,1570.4330475656961,1662.2475537957382,1627.1524576320094,1834.2053725946382,1772.8870553029274,1676.3057136059858,1570.7607370508745,2264.3432304935923,1977.1558951617662,1939.792607158925,2364.673139588388,1500.0,1732.226691079184,1353.5951766084477,2336.7018975455367,1513.1405777188277,2014.010528017597,1949.6571864025993,1873.2908358926247,1500.0,2084.966632906877,2113.5073299064675,1797.2317233857907,1943.350504887301,1499.1,1695.001556304135,1112.0496374553109,1678.286189203296,1932.827126607763,1902.528929395866,2265.9693021883545,2314.1317246109015,2066.0902089760293,1999.383752599135,2028.6100452903659,1846.9582949035762,1731.9960805935186,1500.0,1478.6278260906597,1430.2749209376348,2076.9847048316537,1751.2338623049882,1484.8620405252316,2077.660436212215,1626.8398586488006,1654.5519483794346,2234.403042318666,2400.6352070681005,1909.6206098101293,1896.1928954459258,1872.3667110918825,2002.8492713251314,1491.9
3/3/2024,1289.5633722473378,2115.648752506073,1500.0,1731.5648030274124,1955.0645122474668,1384.2476420759797,2117.9453356282097,1500.0,1549.7126788163655,1804.6531906228136,1797.5100395340887,1847.5554513093125,1983.112537262558,1586.68720111222,1652.5388222095287,1627.1524576320094,1834.2053725946382,1730.1321667691775,1661.6241315410384,1581.121884076266,2264.3432304935923,2014.7625347201235,1959.5013387451345,2364.673139588388,1500.0,1723.8474295497026,1353.234029583056,2336.7018975455367,1512.0257297476207,2041.8270183321606,1949.6571864025993,1897.9724179575721,1500.0,2104.11562379227,2162.890651006564,1829.8175735815435,1943.350504887301,1499.1,1712.6362926685026,1102.2721089390257,1678.286189203296,1932.827126607763,1902.528929395866,2226.585981088258,2314.1317246109015,2083.123369517239,1981.5672622845714,2028.6100452903659,1846.9582949035762,1722.8470897081252,1500.0,1478.6278260906597,1411.864251346319,2049.378065273296,1751.2338623049882,1477.227304160864,2077.660436212215,1655.2505282401164,1631.9660981836819,2234.403042318666,2408.203934235347,1925.7488536529447,1896.1928954459258,1890.745972621364,2005.2805441578855,1491.9
3/4/2024,1289.5633722473378,2123.7078008092694,1500.0,1731.5648030274124,1955.0645122474668,1384.2476420759797,2117.9453356282097,1500.0,1549.7126788163655,1804.6531906228136,1797.5100395340887,1847.5554513093125,1983.112537262558,1586.68720111222,1652.5388222095287,1627.1524576320094,1834.2053725946382,1730.1321667691775,1661.6241315410384,1581.121884076266,2276.02273445318,2014.7625347201235,1959.5013387451345,2365.7922581766093,1500.0,1723.8474295497026,1353.234029583056,2336.7018975455367,1512.0257297476207,2041.8270183321606,1949.6571864025993,1897.9724179575721,1500.0,2104.11562379227,2162.890651006564,1829.8175735815435,1943.350504887301,1499.1,1712.6362926685026,1102.2721089390257,1678.286189203296,1932.827126607763,1902.528929395866,2226.585981088258,2314.1317246109015,2083.123369517239,1981.5672622845714,2028.6100452903659,1848.89924660038,1722.8470897081252,1500.0,1478.6278260906597,1411.864251346319,2049.378065273296,1760.1147437167672,1477.227304160864,2075.980932252627,1655.2505282401164,1631.9660981836819,2240.203596391569,2408.203934235347,1925.7488536529447,1900.3923413730229,1890.745972621364,2005.2805441578855,1491.9
3/5/2024,1289.5633722473378,2123.7078008092694,1500.0,1731.5648030274124,1955.0645122474668,1384.2476420759797,2117.9453356282097,1500.0,1549.7126788163655,1804.6531906228136,1797.5100395340887,1847.5554513093125,1983.112537262558,1586.68720111222,1678.057669094058,1627.1524576320094,1834.2053725946382,1730.1321667691775,1661.6241315410384,1581.121884076266,2276.02273445318,2014.7625347201235,1959.5013387451345,2365.7922581766093,1500.0,1723.8474295497026,1353.234029583056,2336.7018975455367,1512.0257297476207,2041.8270183321606,1949.6571864025993,1897.9724179575721,1500.0,2104.11562379227,2162.890651006564,1829.8175735815435,1943.350504887301,1499.1,1712.6362926685026,1102.2721089390257,1678.286189203296,1932.827126607763,1902.528929395866,2226.585981088258,2314.1317246109015,2083.123369517239,1981.5672622845714,2028.6100452903659,1848.89924660038,1722.8470897081252,1500.0,1478.6278260906597,1411.864251346319,2049.378065273296,1760.1147437167672,1477.227304160864,2075.980932252627,1639.7316813555872,1631.9660981836819,2240.203596391569,2408.203934235347,1925.7488536529447,1900.3923413730229,1890.745972621364,2005.2805441578855,1491.9
3/6/2024,1289.5633722473378,2123.7078008092694,1500.0,1731.5648030274124,1955.0645122474668,1352.3465392772493,2117.9453356282097,1500.0,1549.7126788163655,1804.6531906228136,1797.5100395340887,1845.188971233621,1988.613476846461,1586.68720111222,1678.057669094058,1627.1524576320094,1834.2053725946382,1731.4751825068959,1661.6241315410384,1581.121884076266,2276.02273445318,2014.7625347201235,1959.5013387451345,2365.7922581766093,1500.0,1723.8474295497026,1353.234029583056,2336.7018975455367,1512.0257297476207,2041.8270183321606,1959.7911551990119,1897.9724179575721,1500.0,2104.11562379227,2162.890651006564,1854.625304116084,1943.350504887301,1499.1,1712.6362926685026,1102.2721089390257,1663.4784586687556,1932.827126607763,1902.528929395866,2226.585981088258,2326.4982046865925,2083.123369517239,1981.5672622845714,2028.6100452903659,1848.89924660038,1722.7131209117126,1500.0,1478.6278260906597,1411.864251346319,2058.035049535578,1760.1147437167672,1477.227304160864,2075.980932252627,1644.230741771684,1631.9660981836819,2240.203596391569,2408.203934235347,1925.7488536529447,1900.3923413730229,1890.745972621364,2005.2805441578855,1491.9
3/7/2024,1289.5633722473378,2123.7078008092694,1500.0,1731.5648030274124,1955.0645122474668,1352.3465392772493,2117.9453356282097,1500.0,1549.7126788163655,1804.6531906228136,1797.5100395340887,1845.188971233621,1988.613476846461,1586.68720111222,1678.057669094058,1627.1524576320094,1834.2053725946382,1731.4751825068959,1661.6241315410384,1579.4646044286426,2276.02273445318,2014.7625347201235,1959.5013387451345,2365.7922581766093,1500.0,1723.8474295497026,1353.234029583056,2336.7018975455367,1512.0257297476207,2041.8270183321606,1959.7911551990119,1897.9724179575721,1500.0,2104.11562379227,2162.890651006564,1854.625304116084,1965.9671913907973,1499.1,1712.6362926685026,1102.2721089390257,1650.8617721652593,1932.827126607763,1902.528929395866,2226.585981088258,2284.869580680228,2083.123369517239,1981.5672622845714,2028.6100452903659,1848.89924660038,1722.7131209117126,1500.0,1478.6278260906597,1411.864251346319,2069.692329183201,1760.1147437167672,1477.227304160864,2075.980932252627,1644.230741771684,1631.9660981836819,2240.203596391569,2408.203934235347,1925.7488536529447,1902.478287613533,1890.745972621364,2056.90916816425,1491.9
3/8/2024,1289.5633722473378,2123.7078008092694,1500.0,1731.5648030274124,1929.6106949552952,1352.3465392772493,2117.9453356282097,1500.0,1549.7126788163655,1804.6531906228136,1797.5100395340887,1845.188971233621,1988.613476846461,1586.68720111222,1678.057669094058,1607.3521014877713,1822.0192401343777,1731.4751825068959,1661.6241315410384,1609.2649605728807,2246.274106176728,2014.7625347201235,1959.5013387451345,2371.276412345943,1500.0,1723.8474295497026,1353.234029583056,2336.7018975455367,1512.0257297476207,2046.3428641628273,1981.9772876592724,1897.9724179575721,1500.0,2104.11562379227,2162.890651006564,1854.625304116084,1965.9671913907973,1499.1,1712.6362926685026,1102.2721089390257,1650.8617721652593,1877.8534444930713,1902.528929395866,2226.585981088258,2284.869580680228,2118.5771868094107,1981.5672622845714,2028.6100452903659,1848.89924660038,1722.7131209117126,1500.0,1478.6278260906597,1411.864251346319,2069.692329183201,1760.1147437167672,1477.227304160864,2075.980932252627,1644.230741771684,1631.9660981836819,2279.9522246680212,2408.203934235347,1925.7488536529447,1902.478287613533,1890.745972621364,2056.90916816425,1491.9
